  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      7.2095E-02      1.1788E+00      1.0465E+00      1.3547E+00      6.9983E-02      8.7771E+01      9.1458E+01      1.0000E+00
      7.7619E-02      1.0885E+00      1.0126E+00      1.1700E+00      7.6212E-02      8.8838E+01      9.1701E+01      1.0000E+00
      7.3764E-02      1.0885E+00      1.0131E+00      1.1373E+00      6.7952E-02      8.3078E+01      9.8435E+01      1.0000E+00
      4.7326E-02      1.2244E+00      1.2363E+00      1.4077E+00      2.9236E-02      7.4356E+01      1.2587E+02      1.0000E+00
      7.4003E-02      1.1650E+00      1.0464E+00      1.3239E+00      7.0574E-02      8.0366E+01      9.7414E+01      1.0000E+00
      7.8711E-02      1.0672E+00      1.0110E+00      1.1436E+00      7.5804E-02      8.4738E+01      9.3578E+01      1.0000E+00
      8.0243E-02      1.0423E+00      1.0032E+00      1.0935E+00      7.5088E-02      8.5760E+01      9.3108E+01      1.0000E+00
      8.5633E-02      1.2313E+00      1.0602E+00      1.4003E+00      7.0629E-02      7.3896E+01      1.0510E+02      1.0000E+00
      7.4829E-02      1.0817E+00      1.0492E+00      1.1656E+00      7.0506E-02      7.5640E+01      1.0535E+02      1.0000E+00
      8.1130E-02      1.0254E+00      1.0120E+00      1.0607E+00      7.9013E-02      8.2047E+01      9.8162E+01      1.0000E+00
      8.7397E-02      1.0308E+00      1.0075E+00      1.0469E+00      8.5070E-02      8.4283E+01      9.6913E+01      1.0000E+00
      1.0462E-01      1.1130E+00      1.0425E+00      1.2049E+00      9.3104E-02      7.3813E+01      1.0007E+02      1.0000E+00
      8.2169E-02      1.2628E+00      1.2286E+00      1.5170E+00      4.7777E-02      7.6808E+01      1.2527E+02      1.0000E+00
      7.2548E-02      1.0957E+00      1.0159E+00      1.1779E+00      7.1706E-02      8.5623E+01      9.4301E+01      1.0000E+00
      7.3052E-02      1.0919E+00      1.0168E+00      1.1730E+00      7.2679E-02      8.4575E+01      9.5312E+01      1.0000E+00
      7.4947E-02      1.1084E+00      1.0228E+00      1.2001E+00      7.4546E-02      8.3561E+01      9.6423E+01      1.0000E+00
      7.8318E-02      1.1640E+00      1.0460E+00      1.2795E+00      7.6245E-02      7.9398E+01      1.0061E+02      1.0000E+00
      7.9408E-02      1.1826E+00      1.0664E+00      1.2856E+00      7.6090E-02      7.3528E+01      1.0554E+02      1.0000E+00
      7.6471E-02      1.1017E+00      1.0603E+00      1.1285E+00      7.3415E-02      7.3283E+01      1.0851E+02      1.0000E+00
      7.7049E-02      1.0709E+00      1.0413E+00      1.0656E+00      7.2850E-02      7.5911E+01      1.0620E+02      1.0000E+00
      8.1626E-02      1.0439E+00      1.0183E+00      1.0525E+00      7.9574E-02      8.0219E+01      1.0081E+02      1.0000E+00
      8.6737E-02      1.0386E+00      1.0157E+00      1.0658E+00      8.5554E-02      8.0586E+01      9.9423E+01      1.0000E+00
      9.1646E-02      1.0491E+00      1.0171E+00      1.0763E+00      8.9990E-02      7.9866E+01      9.9325E+01      1.0000E+00
      1.0382E-01      1.1125E+00      1.0598E+00      1.1743E+00      9.2484E-02      7.0688E+01      1.0344E+02      1.0000E+00
      9.1099E-02      1.1513E+00      1.0258E+00      1.2830E+00      7.9019E-02      8.0206E+01      1.0072E+02      1.0000E+00
      7.1008E-02      1.0867E+00      1.0199E+00      1.1414E+00      6.5645E-02      7.9331E+01      9.7770E+01      1.0000E+00
      7.1625E-02      1.0887E+00      1.0170E+00      1.1528E+00      7.0535E-02      8.3061E+01      9.6900E+01      1.0000E+00
      7.3962E-02      1.0933E+00      1.0188E+00      1.1750E+00      7.3887E-02      8.3915E+01      9.6123E+01      1.0000E+00
      7.4832E-02      1.1001E+00      1.0210E+00      1.1867E+00      7.4794E-02      8.3589E+01      9.6385E+01      1.0000E+00
      7.5237E-02      1.1033E+00      1.0220E+00      1.1922E+00      7.5209E-02      8.3523E+01      9.6484E+01      1.0000E+00
      7.5858E-02      1.1095E+00      1.0237E+00      1.2040E+00      7.5727E-02      8.3552E+01      9.6453E+01      1.0000E+00
