  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      6.3743E-03      1.3385E+00      1.2648E+00      1.4698E+00      4.2630E-03      6.3829E+01      1.2743E+02      1.0000E+00
      8.1042E-03      1.1030E+00      1.0414E+00      1.1894E+00      7.6168E-03      7.8727E+01      1.0410E+02      1.0000E+00
      8.8656E-03      1.0693E+00      1.0284E+00      1.1305E+00      8.6120E-03      7.8952E+01      1.0161E+02      1.0000E+00
      9.2994E-03      1.0492E+00      1.0205E+00      1.0863E+00      9.1270E-03      7.9614E+01      1.0051E+02      1.0000E+00
      9.6104E-03      1.0337E+00      1.0160E+00      1.0520E+00      9.4821E-03      8.0149E+01      9.9769E+01      1.0000E+00
      9.8323E-03      1.0229E+00      1.0138E+00      1.0269E+00      9.7330E-03      8.0547E+01      9.9240E+01      1.0000E+00
      9.9733E-03      1.0169E+00      1.0130E+00      1.0109E+00      9.9026E-03      8.0814E+01      9.8845E+01      1.0000E+00
      1.0036E-02      1.0149E+00      1.0125E+00      1.0077E+00      9.9957E-03      8.1000E+01      9.8978E+01      1.0000E+00
      1.0052E-02      1.0143E+00      1.0121E+00      1.0057E+00      1.0004E-02      8.1402E+01      9.8856E+01      1.0000E+00
      1.0141E-02      1.0207E+00      1.0096E+00      1.0185E+00      1.0081E-02      8.2141E+01      9.7901E+01      1.0000E+00
      1.0061E-02      1.0269E+00      1.0094E+00      1.0408E+00      9.9041E-03      8.2278E+01      9.6904E+01      1.0000E+00
      9.4402E-03      1.0369E+00      1.0184E+00      1.0806E+00      9.0454E-03      8.0927E+01      1.0024E+02      1.0000E+00
      8.6546E-03      1.0758E+00      1.0292E+00      1.1390E+00      8.1506E-03      8.0268E+01      1.0259E+02      1.0000E+00
      8.1879E-03      1.0893E+00      1.0274E+00      1.1497E+00      7.9456E-03      8.0082E+01      1.0149E+02      1.0000E+00
      7.7388E-03      1.1295E+00      1.0360E+00      1.2273E+00      7.3246E-03      7.7316E+01      1.0040E+02      1.0000E+00
      6.5148E-03      1.5272E+00      1.2222E+00      1.7979E+00      4.0451E-03      6.7485E+01      1.2098E+02      1.0000E+00
      7.3802E-03      1.2954E+00      1.2836E+00      1.5758E+00      4.6222E-03      6.6673E+01      1.2711E+02      1.0000E+00
      9.0241E-03      1.0849E+00      1.0286E+00      1.1571E+00      8.1537E-03      8.2305E+01      1.0304E+02      1.0000E+00
      1.1067E-02      1.1321E+00      1.0376E+00      1.1893E+00      1.0152E-02      7.6156E+01      1.0239E+02      1.0000E+00
      1.0895E-02      1.1354E+00      1.0208E+00      1.2122E+00      9.7827E-03      8.1536E+01      9.7771E+01      1.0000E+00
      9.6529E-03      1.0242E+00      1.0019E+00      1.0371E+00      9.5202E-03      8.7012E+01      9.2783E+01      1.0000E+00
      9.7350E-03      1.0174E+00      1.0018E+00      1.0345E+00      9.6616E-03      8.7311E+01      9.3041E+01      1.0000E+00
      9.8240E-03      1.0109E+00      1.0014E+00      1.0236E+00      9.7799E-03      8.7300E+01      9.2758E+01      1.0000E+00
      9.8947E-03      1.0073E+00      1.0011E+00      1.0156E+00      9.8594E-03      8.7401E+01      9.2557E+01      1.0000E+00
      9.9500E-03      1.0049E+00      1.0010E+00      1.0094E+00      9.9212E-03      8.7469E+01      9.2450E+01      1.0000E+00
      9.9854E-03      1.0034E+00      1.0009E+00      1.0053E+00      9.9652E-03      8.7512E+01      9.2383E+01      1.0000E+00
      1.0005E-02      1.0031E+00      1.0009E+00      1.0037E+00      9.9947E-03      8.7582E+01      9.2405E+01      1.0000E+00
      1.0058E-02      1.0044E+00      1.0007E+00      1.0074E+00      1.0051E-02      8.7939E+01      9.2025E+01      1.0000E+00
      1.0356E-02      1.0123E+00      1.0004E+00      1.0299E+00      1.0234E-02      8.9326E+01      9.1065E+01      1.0000E+00
      1.1976E-02      1.0928E+00      1.0287E+00      1.1693E+00      1.0436E-02      7.6477E+01      9.6554E+01      1.0000E+00
      1.0140E-02      1.1678E+00      1.0332E+00      1.3004E+00      8.7303E-03      7.8720E+01      1.0216E+02      1.0000E+00
      7.7896E-03      1.0873E+00      1.0108E+00      1.1421E+00      6.9905E-03      8.5991E+01      9.7884E+01      1.0000E+00
      7.7232E-03      1.0885E+00      1.0138E+00      1.1360E+00      7.0669E-03      8.1496E+01      9.5999E+01      1.0000E+00
      1.0008E-02      1.1519E+00      1.0226E+00      1.2921E+00      8.6080E-03      8.1674E+01      9.9699E+01      1.0000E+00
      1.3232E-02      1.0865E+00      1.0544E+00      1.0653E+00      1.2890E-02      7.2440E+01      1.0839E+02      1.0000E+00
      1.1308E-02      1.0894E+00      1.0338E+00      1.2096E+00      9.6528E-03      8.1782E+01      1.0378E+02      1.0000E+00
      8.5288E-03      1.0928E+00      1.0282E+00      1.1978E+00      7.7368E-03      7.7250E+01      9.8723E+01      1.0000E+00
      6.7414E-03      1.4872E+00      1.2035E+00      1.7889E+00      4.0660E-03      6.7307E+01      1.2314E+02      1.0000E+00
      6.2888E-03      1.3699E+00      1.2249E+00      1.6255E+00      3.8736E-03      6.8566E+01      1.2474E+02      1.0000E+00
      8.3853E-03      1.0471E+00      1.0088E+00      1.1390E+00      7.6806E-03      8.5898E+01      9.5341E+01      1.0000E+00
      1.2152E-02      1.2375E+00      1.0525E+00      1.4193E+00      9.4223E-03      7.7889E+01      1.0487E+02      1.0000E+00
      1.2265E-02      1.2302E+00      1.0490E+00      1.3302E+00      1.0311E-02      7.7962E+01      9.9673E+01      1.0000E+00
      1.0782E-02      1.1222E+00      1.0181E+00      1.2024E+00      9.9019E-03      8.2525E+01      9.5370E+01      1.0000E+00
      1.0843E-02      1.1213E+00      1.0260E+00      1.1699E+00      1.0063E-02      7.9484E+01      1.0005E+02      1.0000E+00
      1.0100E-02      1.0163E+00      1.0009E+00      1.0432E+00      9.9239E-03      8.8984E+01      9.0958E+01      1.0000E+00
      1.0234E-02      1.0096E+00      1.0002E+00      1.0154E+00      1.0161E-02      8.9223E+01      9.0586E+01      1.0000E+00
      1.0121E-02      1.0042E+00      1.0003E+00      1.0093E+00      1.0042E-02      8.8579E+01      9.1041E+01      1.0000E+00
      1.0027E-02      1.0026E+00      1.0001E+00      1.0046E+00      1.0007E-02      8.9257E+01      9.0648E+01      1.0000E+00
      1.0001E-02      1.0014E+00      1.0000E+00      1.0023E+00      9.9961E-03      8.9542E+01      9.0449E+01      1.0000E+00
      9.9961E-03      1.0006E+00      1.0000E+00      1.0012E+00      9.9941E-03      8.9641E+01      9.0362E+01      1.0000E+00
      9.9981E-03      1.0005E+00      1.0000E+00      1.0009E+00      9.9958E-03      8.9654E+01      9.0333E+01      1.0000E+00
      1.0004E-02      1.0009E+00      1.0000E+00      1.0016E+00      1.0000E-02      8.9695E+01      9.0319E+01      1.0000E+00
      1.0028E-02      1.0047E+00      1.0000E+00      1.0089E+00      9.9999E-03      8.9881E+01      9.0201E+01      1.0000E+00
      1.0089E-02      1.0258E+00      1.0010E+00      1.0409E+00      9.9095E-03      8.8166E+01      9.1424E+01      1.0000E+00
      1.0396E-02      1.1726E+00      1.0303E+00      1.2823E+00      9.0809E-03      8.0525E+01      9.9770E+01      1.0000E+00
      1.0691E-02      1.1888E+00      1.0306E+00      1.3105E+00      9.1902E-03      8.1104E+01      9.8348E+01      1.0000E+00
      1.0248E-02      1.0311E+00      1.0035E+00      1.0478E+00      9.9673E-03      8.6177E+01      9.4763E+01      1.0000E+00
      9.9442E-03      1.0223E+00      1.0026E+00      1.0446E+00      9.7729E-03      8.6110E+01      9.3019E+01      1.0000E+00
      1.1486E-02      1.1084E+00      1.0439E+00      1.2062E+00      1.0038E-02      7.3378E+01      1.0020E+02      1.0000E+00
      1.0981E-02      1.0995E+00      1.0274E+00      1.2210E+00      9.2887E-03      8.3440E+01      1.0257E+02      1.0000E+00
      8.1400E-03      1.1020E+00      1.0345E+00      1.2404E+00      7.2225E-03      7.7252E+01      9.8427E+01      1.0000E+00
      6.1528E-03      1.4790E+00      1.2243E+00      1.7410E+00      3.7080E-03      6.6326E+01      1.2487E+02      1.0000E+00
      8.5755E-03      1.2745E+00      1.2756E+00      1.4433E+00      4.9881E-03      7.3364E+01      1.2837E+02      1.0000E+00
