  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      4.8219E-01      1.0569E+00      1.0191E+00      1.1774E+00      4.5242E-01      8.4244E+01      9.6105E+01      1.0000E+00
      5.2275E-01      1.0369E+00      1.0026E+00      1.0736E+00      5.1062E-01      8.9151E+01      9.2086E+01      1.0000E+00
      5.5506E-01      1.0098E+00      1.0002E+00      1.0180E+00      5.5381E-01      8.9611E+01      9.0355E+01      1.0000E+00
      5.6485E-01      1.0026E+00      1.0000E+00      1.0057E+00      5.6371E-01      8.9780E+01      9.0314E+01      1.0000E+00
      5.6830E-01      1.0022E+00      1.0000E+00      1.0054E+00      5.6627E-01      8.9724E+01      9.0174E+01      1.0000E+00
      5.7053E-01      1.0065E+00      1.0002E+00      1.0171E+00      5.6423E-01      8.9184E+01      9.0447E+01      1.0000E+00
      5.4747E-01      1.0282E+00      1.0034E+00      1.0596E+00      5.2628E-01      8.5338E+01      9.2683E+01      1.0000E+00
      4.6521E-01      1.3254E+00      1.0953E+00      1.6422E+00      3.0945E-01      7.2709E+01      1.1277E+02      1.0000E+00
      3.4901E-01      1.3192E+00      1.2184E+00      1.5139E+00      2.2966E-01      6.7674E+01      1.2435E+02      1.0000E+00
      5.3515E-01      1.0350E+00      1.0047E+00      1.0837E+00      5.0638E-01      8.4592E+01      9.3117E+01      1.0000E+00
      5.4385E-01      1.0193E+00      1.0006E+00      1.0360E+00      5.3229E-01      8.8632E+01      9.1772E+01      1.0000E+00
      5.6608E-01      1.0078E+00      1.0002E+00      1.0127E+00      5.6234E-01      8.9057E+01      9.0726E+01      1.0000E+00
      5.6629E-01      1.0075E+00      1.0001E+00      1.0139E+00      5.6496E-01      8.9801E+01      9.0131E+01      1.0000E+00
      5.7436E-01      1.0098E+00      1.0003E+00      1.0234E+00      5.6744E-01      8.8871E+01      9.1073E+01      1.0000E+00
      6.6455E-01      1.1136E+00      1.0190E+00      1.2054E+00      5.7153E-01      7.9476E+01      9.5670E+01      1.0000E+00
