  
 ----------------
 Bad Element Info
 ----------------
  
 Element         2282
         0.49539251084953556      -0.68440312385419810        0.0000000000000000     
         0.52515924758445831      -0.73618833061299160        0.0000000000000000     
         0.52957618338832158      -0.64705525960053367        0.0000000000000000     
         0.52143553676705678      -0.64846049226480473        0.0000000000000000     
 Problems:
       Condition          5.5827949318529972     
       Edge Ratio         10.802807791088824     
       Minimum Angle      32.727725424120074     
  
 //////////////////////////////////////////////////
 Element         2297
         0.26381228083696012      -0.47484079943192770        0.0000000000000000     
         0.31559688878910191      -0.50460749080193579        0.0000000000000000     
         0.35153950773519521      -0.47856446323294333        0.0000000000000000     
         0.35294474039946627      -0.47042381661167837        0.0000000000000000     
 Problems:
       Condition          5.5827586026923033     
       Edge Ratio         10.802734147403774     
       Minimum Angle      32.728023526952263     
  
 //////////////////////////////////////////////////
 Element         2323
          2.5500883229116282        1.4532670267453949        0.0000000000000000     
          2.5425522980448236        1.5436875613638117        0.0000000000000000     
          2.4479067600356630        1.5550984481446659        0.0000000000000000     
          2.5000000000000000        1.5000000000000000        0.0000000000000000     
 Problems:
       Condition          16.049514179471803     
       Maximum Angle      176.40929035519713     
  
 //////////////////////////////////////////////////
 Element         2343
         0.53262090917714666        1.5553107450995136        0.0000000000000000     
         0.43675112031428270        1.5441136696436679        0.0000000000000000     
         0.43500604635079299        1.4540761312862083        0.0000000000000000     
         0.50000000000000000        1.5000000000000000        0.0000000000000000     
 Problems:
       Maximum Angle      155.77557468510082     
  
 //////////////////////////////////////////////////
 Element         2374
          2.4479578238788045        1.9278897417041598        0.0000000000000000     
          2.5426559973330893        1.9352396724019436        0.0000000000000000     
          2.5509937436363188        2.0280298205751666        0.0000000000000000     
          2.5000000000000000        2.0000000000000000        0.0000000000000000     
 Problems:
       Maximum Angle      154.61444235269516     
  
 //////////////////////////////////////////////////
 Element         2411
         -1.5518731639932797       -2.0719000439734270        0.0000000000000000     
         -1.4569796093193867       -2.0643162452098349        0.0000000000000000     
         -1.4458336372838900       -1.9682225337299852        0.0000000000000000     
         -1.5000000000000000       -2.0000000000000000        0.0000000000000000     
 Problems:
       Maximum Angle      156.20764706829297     
  
 //////////////////////////////////////////////////
 Element         2427
         -1.9719702657731553      -0.94900633508707333        0.0000000000000000     
         -2.0647561333277333      -0.95733949856721601        0.0000000000000000     
         -2.0721073429347419       -1.0520384717040105        0.0000000000000000     
         -2.0000000000000000       -1.0000000000000000        0.0000000000000000     
 Problems:
       Maximum Angle      154.61356902862414     
  
 //////////////////////////////////////////////////
  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      6.3981E-03      1.3377E+00      1.2972E+00      1.4569E+00      4.2883E-03      6.2059E+01      1.2912E+02      1.0000E+00
      8.2630E-03      1.0936E+00      1.0446E+00      1.1815E+00      7.6764E-03      7.7964E+01      1.0489E+02      1.0000E+00
      9.2199E-03      1.0549E+00      1.0247E+00      1.1075E+00      8.9450E-03      7.8986E+01      1.0120E+02      1.0000E+00
      9.7336E-03      1.0372E+00      1.0160E+00      1.0595E+00      9.5382E-03      7.9901E+01      9.9598E+01      1.0000E+00
      9.9908E-03      1.0263E+00      1.0140E+00      1.0282E+00      9.8641E-03      8.0512E+01      9.8818E+01      1.0000E+00
      1.0041E-02      1.0228E+00      1.0135E+00      1.0156E+00      9.9396E-03      8.0909E+01      9.9377E+01      1.0000E+00
      9.9106E-03      1.0262E+00      1.0155E+00      1.0308E+00      9.7346E-03      8.0897E+01      9.9960E+01      1.0000E+00
      9.6217E-03      1.0365E+00      1.0183E+00      1.0599E+00      9.3878E-03      8.0283E+01      1.0050E+02      1.0000E+00
      9.1860E-03      1.0530E+00      1.0231E+00      1.1034E+00      8.9115E-03      7.9700E+01      1.0090E+02      1.0000E+00
      8.5724E-03      1.0837E+00      1.0306E+00      1.1717E+00      8.2749E-03      7.9068E+01      1.0073E+02      1.0000E+00
      7.6524E-03      1.1461E+00      1.0431E+00      1.2947E+00      7.0564E-03      7.7877E+01      9.7764E+01      1.0000E+00
      6.2268E-03      1.5246E+00      1.2352E+00      1.7570E+00      3.9070E-03      6.4784E+01      1.2354E+02      1.0000E+00
      5.9083E-03      1.2717E+00      1.3054E+00      1.5649E+00      3.6388E-03      6.7315E+01      1.2802E+02      1.0000E+00
      9.4846E-03      1.1410E+00      1.0537E+00      1.2659E+00      8.3464E-03      7.3762E+01      1.0650E+02      1.0000E+00
      1.0426E-02      1.0781E+00      1.0075E+00      1.1389E+00      9.6547E-03      8.4342E+01      9.4617E+01      1.0000E+00
      9.6174E-03      1.0244E+00      1.0018E+00      1.0403E+00      9.4748E-03      8.7407E+01      9.3044E+01      1.0000E+00
      9.7827E-03      1.0126E+00      1.0016E+00      1.0296E+00      9.7028E-03      8.7308E+01      9.2831E+01      1.0000E+00
      9.9118E-03      1.0083E+00      1.0011E+00      1.0178E+00      9.8568E-03      8.7330E+01      9.2525E+01      1.0000E+00
      9.9782E-03      1.0059E+00      1.0010E+00      1.0100E+00      9.9427E-03      8.7436E+01      9.2370E+01      1.0000E+00
      9.9895E-03      1.0053E+00      1.0010E+00      1.0074E+00      9.9644E-03      8.7522E+01      9.2549E+01      1.0000E+00
      9.9527E-03      1.0063E+00      1.0012E+00      1.0119E+00      9.9095E-03      8.7487E+01      9.2700E+01      1.0000E+00
